Название задачи;Клиент;ИНН/ID клиента;Ответственный;Дата начала;Срок (внутренний);Законный срок;Приоритет;Категория;Период;Плановое время, мин;Чек-лист;Основание;Метка
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[REP-NDS] Декларация по НДС за III квартал 2026;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;III квартал 2026;120;checklists/nds.md;НК РФ ст. 174;2026-10
[REP-PRIB] Декларация по налогу на прибыль за 9 месяцев 2026;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;120;checklists/reporting.md;НК РФ ст. 289;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[ACC-90] Отчёт по прослеживаемым товарам / контроль маркировки;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;Высокий;Учёт;III квартал 2026;60;;ПП РФ 1108;2026-10
[TAX-PROP-N] Уведомление и уплата авансов по имущественным налогам за III квартал 2026;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;;НК РФ ст. 383, 397, 363;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-NDS-P] Уплата 1/3 НДС за III квартал 2026;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/nds.md;НК РФ ст. 174 п. 1;2026-10
[TAX-PRIB-P] Уплата налога на прибыль за 9 месяцев 2026;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;9 месяцев 2026;15;;НК РФ ст. 287;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ООО «Северный Ветер»;CL-001;Иванова А.С.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[ACC-30] Проверка кассовой дисциплины и сверка с ОФД;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[ACC-90] Отчёт по прослеживаемым товарам / контроль маркировки;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;Высокий;Учёт;III квартал 2026;60;;ПП РФ 1108;2026-10
[TAX-PROP-N] Уведомление и уплата авансов по имущественным налогам за III квартал 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;;НК РФ ст. 383, 397, 363;2026-10
[TAX-USN-N] Уведомление по авансовому платежу УСН за III квартал 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;checklists/usn.md;НК РФ ст. 58 п. 9;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-USN-P] Уплата авансового платежа УСН за III квартал 2026;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/usn.md;НК РФ ст. 346.21;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ООО «Уютный Дом»;CL-002;Иванова А.С.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[ACC-30] Проверка кассовой дисциплины и сверка с ОФД;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-KUDIR] Актуализация и проверка КУДиР;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-15;2026-10-20;;Низкий;Учёт;III квартал 2026;45;;Приказ ФНС ЕД-7-3/816;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[ACC-90] Отчёт по прослеживаемым товарам / контроль маркировки;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;Высокий;Учёт;III квартал 2026;60;;ПП РФ 1108;2026-10
[TAX-USN-N] Уведомление по авансовому платежу УСН за III квартал 2026;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;checklists/usn.md;НК РФ ст. 58 п. 9;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-USN-P] Уплата авансового платежа УСН за III квартал 2026;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/usn.md;НК РФ ст. 346.21;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ИП Новиков С.С.;CL-008;Лебедева К.М.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[ACC-30] Проверка кассовой дисциплины и сверка с ОФД;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[ACC-95] Декларации по объёму оборота алкогольной продукции;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-12;2026-10-15;2026-10-20;Высокий;Учёт;III квартал 2026;60;;ПП РФ 815;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[TAX-USN-N] Уведомление по авансовому платежу УСН за III квартал 2026;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;checklists/usn.md;НК РФ ст. 58 п. 9;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-USN-P] Уплата авансового платежа УСН за III квартал 2026;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/usn.md;НК РФ ст. 346.21;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ООО «Бар Панорама»;CL-007;Лебедева К.М.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[DOC-10] Запрос первичных документов за сентябрь 2026;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-01;2026-10-01;;Средний;Первичка;сентябрь 2026;15;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-10] Разнесение банковских выписок за сентябрь 2026;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-05;2026-10-08;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-20] Контроль поступления первички, реестр недостающих документов;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-05;2026-10-08;;Средний;Первичка;сентябрь 2026;30;checklists/doc-sbor.md;Регламент агентства;2026-10
[DOC-40] Обработка ЭДО и загрузка сканов в 1С;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-06;2026-10-09;;Средний;Первичка;сентябрь 2026;60;checklists/doc-sbor.md;Регламент агентства;2026-10
[ACC-20] Проведение поступлений и реализаций за сентябрь 2026;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Учёт;сентябрь 2026;120;checklists/close-month.md;ФЗ-402 ст. 9;2026-10
[DOC-30] Эскалация по непредоставленным документам (письмо-претензия клиенту);ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-07;2026-10-12;;Средний;Первичка;сентябрь 2026;20;checklists/escalation.md;Договор, п. об обязанностях клиента;2026-10
[ACC-50] Экспресс-проверка и закрытие месяца в 1С;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-12;2026-10-15;;Средний;Учёт;сентябрь 2026;60;checklists/close-month.md;Регламент агентства;2026-10
[ACC-70] Контроль сальдо ЕНС и сверка с ФНС;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-13;2026-10-16;;Средний;Учёт;октябрь 2026;30;checklists/ens.md;НК РФ ст. 11.3;2026-10
[ACC-60] Сверка взаиморасчётов с ключевыми контрагентами;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Учёт;III квартал 2026;90;;ФЗ-402 ст. 11;2026-10
[CLI-10] Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Клиентский сервис;сентябрь 2026;30;checklists/client-report.md;Договор;2026-10
[REP-STAT] Проверка перечня форм статистики на сайте Росстата и сдача;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-15;2026-10-20;;Средний;Отчётность;III квартал 2026;45;;ФЗ-282;2026-10
[TAX-USN-N] Уведомление по авансовому платежу УСН за III квартал 2026;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;Высокий;Налоги;III квартал 2026;45;checklists/usn.md;НК РФ ст. 58 п. 9;2026-10
[CLI-30] Сверка объёма услуг, акт и счёт за сентябрь 2026;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-19;2026-10-22;;Средний;Клиентский сервис;сентябрь 2026;20;;Договор;2026-10
[DOC-50] Архивирование документов закрытого периода;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-20;2026-10-23;;Низкий;Первичка;сентябрь 2026;20;;ФЗ-402 ст. 29;2026-10
[TAX-USN-P] Уплата авансового платежа УСН за III квартал 2026;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;III квартал 2026;15;checklists/usn.md;НК РФ ст. 346.21;2026-10
[QC-20] Контроль квитанций и протоколов по отправленной отчётности;ООО «МедиаЛаб»;CL-009;Лебедева К.М.;2026-10-23;2026-10-28;;Высокий;Контроль;октябрь 2026;20;checklists/reporting.md;Регламент агентства;2026-10
[HR-10] Приём табеля учёта рабочего времени и данных по отсутствиям;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-01;2026-10-02;;Средний;Зарплата и кадры;сентябрь 2026;20;checklists/payroll.md;ТК РФ ст. 91;2026-10
[TAX-NDFL-N2] Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[TAX-NDFL-P2] Уплата НДФЛ за период с 23 по последнее число прошлого месяца;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[PAY-20] Расчёт заработной платы за сентябрь 2026;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-05;2026-10-08;;Высокий;Зарплата и кадры;сентябрь 2026;90;checklists/payroll.md;ТК РФ ст. 136;2026-10
[PAY-30] Расчётные листки и реестр на выплату;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-06;2026-10-09;;Высокий;Зарплата и кадры;сентябрь 2026;30;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-SFR-P] Уплата взносов на травматизм в СФР за сентябрь 2026;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;Высокий;Налоги;сентябрь 2026;15;;ФЗ-125 ст. 22;2026-10
[REP-6NDFL] 6-НДФЛ за 9 месяцев 2026;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 230;2026-10
[REP-RSV] РСВ за 9 месяцев 2026;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 431;2026-10
[REP-EFS2] ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;Высокий;Отчётность;9 месяцев 2026;45;checklists/reporting.md;ФЗ-125 ст. 24;2026-10
[HR-30] ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Зарплата и кадры;октябрь 2026;30;checklists/hr-events.md;ФЗ-27 ст. 11;2026-10
[TAX-NDFL-N1] Уведомление по НДФЛ за период с 1 по 22 число;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Налоги;октябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[HR-20] Оформление кадровых документов (приём, перевод, увольнение, отпуска);ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-20;2026-10-23;;Средний;Зарплата и кадры;октябрь 2026;60;checklists/hr-events.md;ТК РФ;2026-10
[PAY-10] Расчёт и согласование аванса за первую половину месяца;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-20;2026-10-23;;Высокий;Зарплата и кадры;октябрь 2026;60;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-NDFL-P1] Уплата НДФЛ за период с 1 по 22 число;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;октябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SV-P] Уплата страховых взносов за сентябрь 2026;ИП Морозова Е.В.;CL-005;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;сентябрь 2026;15;;НК РФ ст. 431;2026-10
[HR-10] Приём табеля учёта рабочего времени и данных по отсутствиям;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-01;2026-10-02;;Средний;Зарплата и кадры;сентябрь 2026;20;checklists/payroll.md;ТК РФ ст. 91;2026-10
[PAY-20] Расчёт заработной платы за сентябрь 2026;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;90;checklists/payroll.md;ТК РФ ст. 136;2026-10
[PAY-30] Расчётные листки и реестр на выплату;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-01;2026-10-02;;Высокий;Зарплата и кадры;сентябрь 2026;30;checklists/payroll.md;ТК РФ ст. 136;2026-10
[TAX-NDFL-N2] Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[TAX-NDFL-P2] Уплата НДФЛ за период с 23 по последнее число прошлого месяца;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;Высокий;Налоги;сентябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
[TAX-SFR-P] Уплата взносов на травматизм в СФР за сентябрь 2026;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;Высокий;Налоги;сентябрь 2026;15;;ФЗ-125 ст. 22;2026-10
[PAY-10] Расчёт и согласование аванса за первую половину месяца;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-13;2026-10-16;;Высокий;Зарплата и кадры;октябрь 2026;60;checklists/payroll.md;ТК РФ ст. 136;2026-10
[REP-6NDFL] 6-НДФЛ за 9 месяцев 2026;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 230;2026-10
[REP-RSV] РСВ за 9 месяцев 2026;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;Высокий;Отчётность;9 месяцев 2026;90;checklists/reporting.md;НК РФ ст. 431;2026-10
[REP-EFS2] ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;Высокий;Отчётность;9 месяцев 2026;45;checklists/reporting.md;ФЗ-125 ст. 24;2026-10
[HR-30] ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Зарплата и кадры;октябрь 2026;30;checklists/hr-events.md;ФЗ-27 ст. 11;2026-10
[TAX-NDFL-N1] Уведомление по НДФЛ за период с 1 по 22 число;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;Высокий;Налоги;октябрь 2026;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;2026-10
[HR-20] Оформление кадровых документов (приём, перевод, увольнение, отпуска);ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-20;2026-10-23;;Средний;Зарплата и кадры;октябрь 2026;60;checklists/hr-events.md;ТК РФ;2026-10
[TAX-NDFL-P1] Уплата НДФЛ за период с 1 по 22 число;ООО «Импорт Трейд»;CL-010;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;Высокий;Налоги;октябрь 2026;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;2026-10
